busybox,1547
bridge-utils,755
dnsmasq,713
curl,536
poptop,526
dropbear,524
iptables,499
igmpproxy,450
openssl,448
wpa_supplicant,422
tcpdump,397
ipset,363
radvd,351
udpxy,332
ntfs-3g,314
comgt,263
mtd-utils,229
p910nd,226
net-snmp,221
iperf,181
dnscrypt-proxy,170
hostip,170
apstats,167
pppoe,153
ethtool,143
dnrd,130
sysstat,129
opkg,122
iw,122
util-linux,111
avahi,111
tor,95
lighttpd,92
bluemoon,87
transmission,84
netatalk,82
lzma,82
strace,80
lldp,79
e2fsprogs,79
xl2tpd,74
wget,71
nfs-utils,71
ez-ipupdate,70
portmap,68
ate daemon,63
ppp,60
nginx,60
conntrack,57
ntp,55
lrzsz,55
zic.c,52
linux-ntfs,50
proftpd,48
mdadm,48
memtester,47
bootlogd,44
newfs_hfs,42
jq,41
ndp proxy,41
quagga,40
mkfatfs,39
i2c-tools,37
sample.bin,37
dbd,36
sd-idle,36
shn_ctrl,36
samba,36
updatedd,35
uniconv,35
gdb,35
wred,34
mmc-utils,33
socat,33
npd6,33
procps,32
libfuse,30
rfdformat,28
ookla,28
udhcp,28
arp,26
lbd,24
arptables,22
alsa,22
smtpclient,20
sed,20
mini_httpd,20
stress,19
hdparm,19
crytool,19
mtools,18
gzip,17
wlxmlpatch,17
sshpass,17
isc dhcp,16
tar,15
mailsend,15
libiconv,15
dosfsck,14
nbtscan,13
ddns,13
pciutils,13
bftpd,13
xdslctl,13
xtmctl,13
mongo,12
wifidog,11
bpalogin,11
logrotate,11
qrngd,11
qrngtest,11
btconfig,10
ssmtp,10
cpu,10
mklost+found,10
kbd,10
pimd,10
binutils,9
gnu make,9
jpegtoavi,9
bzip2,8
zip,8
ffmpeg,8
inadyn,8
trace-cmd,7
nameresolv,7
uclinux,7
ecmh,7
watchdog,7
alinkgw,7
bc,6
haserl,6
rsyslog,6
renew ethernet daemon,6
attr,5
jitterentropy-rngd,5
coreutils,5
ne3_regrw_io,5
ne3ext_avol,5
ne3ext_hdmi,5
ne3ext_vdec,5
ne3ext_venc,5
ne3sysparam,5
ne3logsave,5
ne3memdump,5
dev_discover,5
picocom,5
snarf,5
wol,5
debugfs,5
tftp-hpa,5
amule,4
u-boot,4
open-plc-utils,4
htmlget,4
thttpd,4
bind-9,4
tinylogin,4
ltrace,4
atmarp,4
redis,4
logd,4
stubby,3
inetutils,3
gptfdisk,3
parted,3
php,3
aescrypt,3
libqrencode,3
totd,3
io utility,3
dwds_ctl,3
dbus,3
import utility,3
openssh,3
vsntp,3
dhcp-forwarder,3
hyd,2
openvpn,2
lantiq,2
inotify-tools,2
getoid,2
paed,2
setoid,2
cgi-wrapper,2
wigwam,2
gpon optic control,2
ipwatchd,2
map,2
atcmdsrv,2
upgrade,2
uvm,2
wcn,2
gnutls,2
upgraded,2
xz,1
mcproxy,1
cpulimit,1
wd_keepalive,1
isatapd,1
con2tel,1
vnstat,1
ngrep,1
webd,1
connection_mgr,1
mtd re-flash tool,1
rdb_manager,1
simple_at_manager,1
ttyportdet,1
artmtd,1
hiawatha,1
bash,1
lsattr,1
freeradius,1
usbip-utils,1
luajit,1
port-scan,1
forked,1
arp-scan,1
ccrypt,1
miniigd,1
ipcmk,1
bluez,0
miniupnp,0
strongswan,0
ethswctl.c,0
